runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0610T011022Z_S24rVs,epsilon,4,0.0001,0.01,2,4,4096,1,1,512,0.5781370525817794,0.5781370525817794
0517T181922Z_A1Et4o,epsilon,0,0.0001,10,8192,128,4096,1,1,16,0.4820301919049048,0.4817248575481597
0517T021227Z_GXScRm,epsilon,1,0.0001,0.005,16,1,4096,1,1,16,0.4786651268803092,0.4786651268803092
0610T011707Z_u5dLlW,epsilon,4,0.0001,50,2048,8,4096,1,1,512,0.7761095658096417,0.7307581310588217
0610T111758Z_Be0kqu,epsilon,0,0.0001,20,64,16,4096,1,1,512,0.5417189440150981,0.5161521190995374
0517T122745Z_9OxnC2,epsilon,0,0.0001,5,4096,256,4096,1,1,16,0.4732857035462378,0.4732857035462378
0517T015307Z_NPsOFO,epsilon,1,0.0001,0.005,1024,8,4096,1,1,16,0.5435574810491692,0.5435574810491692
0517T195600Z_I51tOu,epsilon,0,0.0001,5,2048,32,4096,1,1,16,0.4727526313020021,0.4727526313020021
0517T195743Z_Ch247v,epsilon,0,0.0001,0.1,2048,2,4096,1,1,16,0.7813796692153859,0.7813796692153859
0610T003446Z_wcEWj9,epsilon,3,0.0001,2,8,16,4096,1,1,512,0.7644867887116501,0.7644867887116501
0610T011928Z_M0Fzod,epsilon,4,0.0001,0.1,1024,2,4096,1,1,512,0.4714775151316658,0.4714465001906581
0610T001450Z_YAo8pn,epsilon,3,0.0001,20,8192,32,4096,1,1,512,0.5837076878408428,0.5837076878408428
0517T162739Z_D9Lszf,epsilon,0,0.0001,2,4096,2,4096,1,1,16,0.4863980783914753,0.4863980783914753
0609T225714Z_0IcBqh,epsilon,4,0.0001,2,8192,256,4096,1,1,512,0.8136324421371579,0.8136324421371579
0609T225751Z_2AFOZ5,epsilon,4,0.0001,10,1024,256,4096,1,1,512,0.6888883589247237,0.6888883589247237
0610T010522Z_HfuAtu,epsilon,3,0.0001,50,32,128,4096,1,1,512,1.4109271475773515,0.8911376688840524
0610T010333Z_lf51Q5,epsilon,4,0.0001,20,128,1,4096,1,1,512,0.5075951293670834,0.5075951293670834
0517T011424Z_0JTH9l,epsilon,0,0.0001,10,8,2,4096,1,1,16,0.5503531826562107,0.5054176739826919
0517T001035Z_IZOdpi,epsilon,0,0.0001,0.2,32,64,4096,1,1,16,0.7197439376129484,0.7197439376129484
0610T130727Z_KYJWmv,epsilon,1,0.0001,20,512,128,4096,1,1,512,0.5402389077692707,0.5295937626041822
0517T030549Z_dL6Z5a,epsilon,0,0.0001,5,512,4,4096,1,1,16,0.4724263760821046,0.4724263760821046
0517T015040Z_bPRMje,epsilon,1,0.0001,0.005,256,2,4096,1,1,16,0.479711504169458,0.479711504169458
0517T005127Z_hCeuwl,epsilon,0,0.0001,0.5,512,32,4096,1,1,16,0.6115484873092889,0.6115484873092889
0610T015029Z_6l6052,epsilon,4,0.0001,10,32,64,4096,1,1,512,0.48019955361571,0.48019955361571
0517T005804Z_wHWgSh,epsilon,0,0.0001,10,256,128,4096,1,1,16,0.4875410729450305,0.4829961616338336
0610T000827Z_xR6fmm,epsilon,3,0.0001,0.05,32,8,4096,1,1,512,0.8768438554414618,0.8768438554414618
0610T003331Z_qnOpkQ,epsilon,3,0.0001,0.001,32,128,4096,1,1,512,0.8910994836267999,0.8910994836267999
0609T235602Z_EbJ0eQ,epsilon,3,0.0001,0.005,32,1,4096,1,1,512,0.8787477720820074,0.8787477720820074
0610T013344Z_nY7yrD,epsilon,4,0.0001,20,128,16,4096,1,1,512,0.4810185680061298,0.4750435950998373
0610T111958Z_ZdXu7w,epsilon,0,0.0001,20,8,1,4096,1,1,512,0.5443309473349974,0.5353946554266107
0517T021852Z_bH8wPe,epsilon,0,0.0001,0.2,16,16,4096,1,1,16,0.7200007079155687,0.7200007079155687
0610T111829Z_c4foCO,epsilon,0,0.0001,50,4,16,4096,1,1,512,2.1335054614029043,0.8911376688840524
0517T173112Z_KxE5K5,epsilon,1,0.0001,2,2048,512,4096,1,1,16,0.4725024505289667,0.4725024505289667
0610T000014Z_WaW6kT,epsilon,3,0.0001,10,8192,4,4096,1,1,512,0.4793334046168344,0.4793334046168344
0610T002519Z_xzLzgU,epsilon,3,0.0001,0.2,64,16,4096,1,1,512,0.8680433513703459,0.8680433513703459
0517T122741Z_8VGgzO,epsilon,0,0.0001,1,8192,16,4096,1,1,16,0.5326123415474022,0.5326123415474022
0517T015557Z_e7eVLo,epsilon,1,0.0001,0.2,4,8,4096,1,1,16,0.5106687330785026,0.5106687330785026
0517T001119Z_ThMT1e,epsilon,0,0.0001,0.02,64,64,4096,1,1,16,0.8582106716022689,0.8582106716022689
0610T001533Z_V9C7ew,epsilon,3,0.0001,2,4,4,4096,1,1,512,0.6165716953156932,0.6165716953156932
0517T135532Z_O8AXtn,epsilon,0,0.0001,5,8192,32,4096,1,1,16,0.4726794190144467,0.4726794190144467
0610T012922Z_D4frIB,epsilon,4,0.0001,10,8192,16,4096,1,1,512,0.4713238342200423,0.4713213268789802
